Date,Venue,Race,Length
01/07/2019,Sha Tin,6,1650
01/07/2019,Sha Tin,7,1200
01/07/2019,Sha Tin,8,1200
01/07/2019,Sha Tin,9,2000
01/07/2019,Sha Tin,10,1400
26/06/2019,Happy Valley,1,1000
26/06/2019,Happy Valley,2,1650
26/06/2019,Happy Valley,3,1650
26/06/2019,Happy Valley,4,1200
26/06/2019,Happy Valley,5,1200
26/06/2019,Happy Valley,6,1650
26/06/2019,Happy Valley,7,1000
26/06/2019,Happy Valley,8,1650
23/06/2019,Sha Tin,1,1200
23/06/2019,Sha Tin,2,2000
23/06/2019,Sha Tin,3,1400
23/06/2019,Sha Tin,4,1400
23/06/2019,Sha Tin,5,1200
23/06/2019,Sha Tin,6,1400
23/06/2019,Sha Tin,7,1000
23/06/2019,Sha Tin,8,1800
23/06/2019,Sha Tin,9,1600
23/06/2019,Sha Tin,10,1400
16/06/2019,Sha Tin,1,1000
16/06/2019,Sha Tin,2,1600
16/06/2019,Sha Tin,3,1000
16/06/2019,Sha Tin,4,1600
16/06/2019,Sha Tin,5,1200
16/06/2019,Sha Tin,6,1400
16/06/2019,Sha Tin,7,1400
16/06/2019,Sha Tin,8,1200
16/06/2019,Sha Tin,9,1200
16/06/2019,Sha Tin,10,1800
12/06/2019,Sha Tin,2,1650
12/06/2019,Sha Tin,3,1800
12/06/2019,Sha Tin,4,1200
12/06/2019,Sha Tin,5,1200
12/06/2019,Sha Tin,7,1200
12/06/2019,Sha Tin,8,1650
08/06/2019,Sha Tin,1,1200
08/06/2019,Sha Tin,2,1200
08/06/2019,Sha Tin,3,1000
08/06/2019,Sha Tin,4,1400
08/06/2019,Sha Tin,5,1200
08/06/2019,Sha Tin,6,1800
08/06/2019,Sha Tin,7,1400
08/06/2019,Sha Tin,8,1400
08/06/2019,Sha Tin,9,1400
08/06/2019,Sha Tin,10,1200
05/06/2019,Happy Valley,1,2200
05/06/2019,Happy Valley,2,1650
05/06/2019,Happy Valley,3,1000
05/06/2019,Happy Valley,4,1200
05/06/2019,Happy Valley,5,1650
05/06/2019,Happy Valley,6,1650
05/06/2019,Happy Valley,7,1200
05/06/2019,Happy Valley,8,1800
02/06/2019,Sha Tin,1,2000
02/06/2019,Sha Tin,2,1000
02/06/2019,Sha Tin,3,1400
02/06/2019,Sha Tin,4,1200
02/06/2019,Sha Tin,5,1400
02/06/2019,Sha Tin,6,1200
02/06/2019,Sha Tin,7,1400
02/06/2019,Sha Tin,8,1600
02/06/2019,Sha Tin,9,1600
02/06/2019,Sha Tin,10,1400
29/05/2019,Happy Valley,1,1200
29/05/2019,Happy Valley,2,1000
29/05/2019,Happy Valley,3,2200
29/05/2019,Happy Valley,4,1200
29/05/2019,Happy Valley,6,1000
29/05/2019,Happy Valley,7,1650
29/05/2019,Happy Valley,8,1200
26/05/2019,Sha Tin,1,1200
26/05/2019,Sha Tin,2,1200
26/05/2019,Sha Tin,3,1400
26/05/2019,Sha Tin,4,1000
26/05/2019,Sha Tin,5,1400
26/05/2019,Sha Tin,6,1200
26/05/2019,Sha Tin,7,1200
26/05/2019,Sha Tin,8,2400
26/05/2019,Sha Tin,9,1600
22/05/2019,Happy Valley,1,1650
22/05/2019,Happy Valley,2,1200
22/05/2019,Happy Valley,3,1650
22/05/2019,Happy Valley,4,1200
22/05/2019,Happy Valley,5,1650
22/05/2019,Happy Valley,6,1200
22/05/2019,Happy Valley,7,1200
22/05/2019,Happy Valley,8,1200
18/05/2019,Sha Tin,1,1200
18/05/2019,Sha Tin,2,1000
18/05/2019,Sha Tin,3,1200
18/05/2019,Sha Tin,4,1200
18/05/2019,Sha Tin,5,1800
18/05/2019,Sha Tin,6,1400
18/05/2019,Sha Tin,7,1400
18/05/2019,Sha Tin,8,1400
18/05/2019,Sha Tin,9,1600
18/05/2019,Sha Tin,10,1600
15/05/2019,Happy Valley,1,1000
15/05/2019,Happy Valley,2,1200
15/05/2019,Happy Valley,3,1650
15/05/2019,Happy Valley,4,1650
15/05/2019,Happy Valley,5,1000
15/05/2019,Happy Valley,6,1650
15/05/2019,Happy Valley,7,1200
15/05/2019,Happy Valley,8,1800
11/05/2019,Sha Tin,1,1800
11/05/2019,Sha Tin,2,1400
11/05/2019,Sha Tin,3,1400
11/05/2019,Sha Tin,4,1200
11/05/2019,Sha Tin,5,1400
11/05/2019,Sha Tin,6,1200
11/05/2019,Sha Tin,7,1400
11/05/2019,Sha Tin,8,1200
11/05/2019,Sha Tin,9,1000
11/05/2019,Sha Tin,10,1400
08/05/2019,Sha Tin,1,1650
08/05/2019,Sha Tin,2,1200
08/05/2019,Sha Tin,3,1200
08/05/2019,Sha Tin,4,1200
08/05/2019,Sha Tin,5,1800
08/05/2019,Sha Tin,6,1650
08/05/2019,Sha Tin,7,1200
08/05/2019,Sha Tin,8,1650
05/05/2019,Sha Tin,1,1000
05/05/2019,Sha Tin,2,1600
05/05/2019,Sha Tin,3,1200
05/05/2019,Sha Tin,4,1000
05/05/2019,Sha Tin,5,1400
05/05/2019,Sha Tin,6,1400
05/05/2019,Sha Tin,7,2400
05/05/2019,Sha Tin,8,1000
05/05/2019,Sha Tin,9,1600
05/05/2019,Sha Tin,10,2000
01/05/2019,Happy Valley,1,1000
01/05/2019,Happy Valley,2,1200
01/05/2019,Happy Valley,3,1200
01/05/2019,Happy Valley,4,1650
01/05/2019,Happy Valley,5,1200
01/05/2019,Happy Valley,6,1650
01/05/2019,Happy Valley,7,1200
01/05/2019,Happy Valley,8,1650
28/04/2019,Sha Tin,1,1400
28/04/2019,Sha Tin,2,1200
28/04/2019,Sha Tin,3,1200
28/04/2019,Sha Tin,4,1600
28/04/2019,Sha Tin,5,1600
28/04/2019,Sha Tin,6,1200
28/04/2019,Sha Tin,7,1600
28/04/2019,Sha Tin,8,2000
28/04/2019,Sha Tin,9,1400
28/04/2019,Sha Tin,10,1200
24/04/2019,Happy Valley,1,1200
24/04/2019,Happy Valley,2,1650
24/04/2019,Happy Valley,3,1800
24/04/2019,Happy Valley,4,1200
24/04/2019,Happy Valley,5,1200
24/04/2019,Happy Valley,6,1200
24/04/2019,Happy Valley,7,1800
24/04/2019,Happy Valley,8,1000
22/04/2019,Sha Tin,1,1650
22/04/2019,Sha Tin,2,1400
22/04/2019,Sha Tin,3,1400
22/04/2019,Sha Tin,4,1200
22/04/2019,Sha Tin,5,1000
22/04/2019,Sha Tin,6,1800
22/04/2019,Sha Tin,7,1200
22/04/2019,Sha Tin,8,1650
22/04/2019,Sha Tin,9,1200
22/04/2019,Sha Tin,10,1400
17/04/2019,Happy Valley,1,1650
17/04/2019,Happy Valley,2,1000
17/04/2019,Happy Valley,3,1200
17/04/2019,Happy Valley,4,1650
17/04/2019,Happy Valley,5,1200
17/04/2019,Happy Valley,6,1200
17/04/2019,Happy Valley,7,1650
17/04/2019,Happy Valley,8,1650
14/04/2019,Sha Tin,1,1000
14/04/2019,Sha Tin,2,1200
14/04/2019,Sha Tin,3,1000
14/04/2019,Sha Tin,4,1400
14/04/2019,Sha Tin,5,1800
14/04/2019,Sha Tin,6,1200
14/04/2019,Sha Tin,7,1600
14/04/2019,Sha Tin,8,1200
14/04/2019,Sha Tin,9,1200
14/04/2019,Sha Tin,10,1600
10/04/2019,Happy Valley,1,1000
10/04/2019,Happy Valley,2,1200
10/04/2019,Happy Valley,3,1650
10/04/2019,Happy Valley,4,1000
10/04/2019,Happy Valley,5,1200
10/04/2019,Happy Valley,6,1800
10/04/2019,Happy Valley,7,1200
10/04/2019,Happy Valley,8,1650
07/04/2019,Sha Tin,1,1000
07/04/2019,Sha Tin,2,1400
07/04/2019,Sha Tin,3,1200
07/04/2019,Sha Tin,4,1200
07/04/2019,Sha Tin,5,1400
07/04/2019,Sha Tin,6,1200
07/04/2019,Sha Tin,7,1600
07/04/2019,Sha Tin,8,1200
07/04/2019,Sha Tin,9,2000
07/04/2019,Sha Tin,10,1400
03/04/2019,Sha Tin,1,1650
03/04/2019,Sha Tin,2,1200
03/04/2019,Sha Tin,3,1200
03/04/2019,Sha Tin,4,1200
03/04/2019,Sha Tin,5,1650
03/04/2019,Sha Tin,6,1200
03/04/2019,Sha Tin,7,1200
03/04/2019,Sha Tin,8,1800
31/03/2019,Sha Tin,1,1200
31/03/2019,Sha Tin,2,1600
31/03/2019,Sha Tin,3,1200
31/03/2019,Sha Tin,4,1200
31/03/2019,Sha Tin,5,1800
31/03/2019,Sha Tin,6,1400
31/03/2019,Sha Tin,7,1200
31/03/2019,Sha Tin,8,1400
31/03/2019,Sha Tin,9,1400
31/03/2019,Sha Tin,10,1600
27/03/2019,Happy Valley,1,1650
27/03/2019,Happy Valley,2,1650
27/03/2019,Happy Valley,3,1200
27/03/2019,Happy Valley,4,1000
27/03/2019,Happy Valley,5,2200
27/03/2019,Happy Valley,6,1200
27/03/2019,Happy Valley,7,1000
27/03/2019,Happy Valley,8,1650
24/03/2019,Sha Tin,1,1400
24/03/2019,Sha Tin,2,1000
24/03/2019,Sha Tin,3,1200
24/03/2019,Sha Tin,4,1200
24/03/2019,Sha Tin,5,1400
24/03/2019,Sha Tin,6,1000
24/03/2019,Sha Tin,7,1600
24/03/2019,Sha Tin,8,1200
24/03/2019,Sha Tin,9,1650
24/03/2019,Sha Tin,10,1400
20/03/2019,Happy Valley,1,1650
20/03/2019,Happy Valley,2,1200
20/03/2019,Happy Valley,3,1800
20/03/2019,Happy Valley,4,1650
20/03/2019,Happy Valley,7,1200
20/03/2019,Happy Valley,8,1650
17/03/2019,Sha Tin,1,1200
17/03/2019,Sha Tin,2,1200
17/03/2019,Sha Tin,3,1200
17/03/2019,Sha Tin,4,1600
17/03/2019,Sha Tin,5,1400
17/03/2019,Sha Tin,6,2000
17/03/2019,Sha Tin,7,1200
17/03/2019,Sha Tin,8,2000
17/03/2019,Sha Tin,9,1400
17/03/2019,Sha Tin,10,1400
13/03/2019,Happy Valley,1,1200
13/03/2019,Happy Valley,2,1200
13/03/2019,Happy Valley,3,1000
13/03/2019,Happy Valley,4,1650
13/03/2019,Happy Valley,5,1650
13/03/2019,Happy Valley,6,1200
10/03/2019,Sha Tin,1,1200
10/03/2019,Sha Tin,2,1800
10/03/2019,Sha Tin,3,1400
10/03/2019,Sha Tin,4,1400
10/03/2019,Sha Tin,5,1000
10/03/2019,Sha Tin,6,-1
10/03/2019,Sha Tin,7,1200
10/03/2019,Sha Tin,8,1600
10/03/2019,Sha Tin,9,1650
10/03/2019,Sha Tin,10,1200
